updated Sat Apr  8 20:50:31 UTC 2023
https://magiceden.io/item-details/7Xm8HuppBWtUHyJhuZeDnTKF7ZmwaESfLFh9x4hZjY8U = 22 Bones, 110 Bones/SOL, 0.009 SOL/Bones, 0.2 SOL
https://magiceden.io/item-details/2kuJXCD7565Vq5TmV44DDBnDWzLkRHLJAeWKggX5xTSg = 24 Bones, 109.091 Bones/SOL, 0.009 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/Gc2JXRWnLUTWXgQzUNAroNyxErt9MD5bKPxKVMyQiHou = 23 Bones, 104.545 Bones/SOL, 0.01 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/JCPaB7Ko4VL1pHrnsjdmHEkfAgkRZrQbktnQsDUZYmUC = 21 Bones, 95.455 Bones/SOL, 0.01 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/8Z9qQhJV2h7oEgENQPLcoh6XejR1MRaTKnFc5jNdutyC = 19 Bones, 95 Bones/SOL, 0.011 SOL/Bones, 0.2 SOL
https://magiceden.io/item-details/9nbB2Ls8wxDtyrMqwMMH4uE6CaDe9dbqNEY1TEfhfqpF = 19 Bones, 86.364 Bones/SOL, 0.012 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/E3mSc7MwQvLLCBEDPsTPPD52bAQZDARhp4oQgQsNAURW = 16 Bones, 72.727 Bones/SOL, 0.014 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/49BTNhgsTWPapEP9tWRQpdYg24YqEWcCwna5PaSsjDKh = 15 Bones, 68.182 Bones/SOL, 0.015 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/2tNHpY8etxzLLq61iasvr4McJNAeNxLhmXbXetZMfWbd = 15 Bones, 68.182 Bones/SOL, 0.015 SOL/Bones, 0.22 SOL
https://magiceden.io/item-details/HdTtg5pm3evwYXugdo8sDHqtZFneLfxTHEq3SimsLQm2 = 15 Bones, 60 Bones/SOL, 0.017 SOL/Bones, 0.25 SOL
https://magiceden.io/item-details/FQEn49cNMbHLPpjmzaRt62UMbvK4DsFb977WR9MMdYGg = 23 Bones, 57.5 Bones/SOL, 0.017 SOL/Bones, 0.4 SOL
https://magiceden.io/item-details/CvDTsxFX2oAMnH1z7Aecxjag67JiZPprCM4pQgt1nKq = 222 Bones, 55.5 Bones/SOL, 0.018 SOL/Bones, 4 SOL
https://magiceden.io/item-details/3k1UwTVLGtVz5uqhAo7jjjQnNXgmFXSLKWksN4qnx2dk = 11 Bones, 55.276 Bones/SOL, 0.018 SOL/Bones, 0.199 SOL
https://magiceden.io/item-details/2H8BHiLNXcFqGa3QJo98DiArjYoz2bcZQEU7pX6LhseN = 11 Bones, 55.276 Bones/SOL, 0.018 SOL/Bones, 0.199 SOL
https://magiceden.io/item-details/ELGjKDxJWJMoz74hr9VTUqsu4cK5pST1SjXmYUZrBvsg = 11 Bones, 55 Bones/SOL, 0.018 SOL/Bones, 0.2 SOL
https://magiceden.io/item-details/4tM7wy2LCmZxweB4Y3L6Q3F6TPzxFiK81uit4M6XBNfy = 11 Bones, 55 Bones/SOL, 0.018 SOL/Bones, 0.2 SOL
https://magiceden.io/item-details/3QzQDPPC2QRmZvdSKpCGgyB3r4GHZfB2FvZdw6ptm35g = 15 Bones, 54.132 Bones/SOL, 0.018 SOL/Bones, 0.2771 SOL
https://magiceden.io/item-details/6z5ucDL9waaAZmJdJga3TYYwQq7d6Hrn2oM9MgJHuSjk = 15 Bones, 54.113 Bones/SOL, 0.018 SOL/Bones, 0.2772 SOL
https://magiceden.io/item-details/4YVu48GJb2p2NRDyWxQiaEf6fcqsnRgpSUG866gwZAzL = 21 Bones, 52.5 Bones/SOL, 0.019 SOL/Bones, 0.4 SOL
https://magiceden.io/item-details/3ghaP7jRpEB6KVGV1JMMMXM2oLQebXALFeDMU5qVQUK4 = 10 Bones, 51.282 Bones/SOL, 0.019 SOL/Bones, 0.195 SOL
